"","sampleID.exp","test1.exp","allP.exp","ztest1","zallP","month","exp.adjust","exp.adjustTest1","stress"
"73","356",31560,39070,-0.838374001999077,0.249889790264422,"August",1757.35188643625,33317.3518864362,5752.64811356375
"74","365",31800,38710,-0.622132293637042,-0.365581044873735,"August",1644.64438203547,33444.6443820355,5265.35561796453
"75","366",31610,38600,-0.793323646090319,-0.553641577832616,"August",1536.52730755328,33146.5273075533,5453.47269244672
"76","367",31560,39000,-0.838374001999077,0.130214905654224,"August",1688.40414949079,33248.4041494908,5751.59585050921
"77","368",32010,39450,-0.432920798820267,0.899553449576927,"August",1884.19080431298,33894.190804313,5555.80919568702
"78","377",31890,38840,-0.54104165300128,-0.143327687740507,"August",1663.09262489931,33553.0926248993,5286.90737510069
"79","378",31720,39240,-0.694212863091055,0.540528795746334,"August",1815.11693483821,33535.1169348382,5704.88306516179
"80","380",31340,38970,-1.03659556799761,0.0789256693927093,"August",1660.74622377955,33000.7462237795,5969.25377622045
"81","389",31980,38870,-0.459951012365518,-0.0920384514790038,"August",1679.46531088957,33659.4653108896,5210.53468911043
"82","390",31780,38960,-0.640152436000545,0.0618292573055416,"August",1705.07862207608,33485.0786220761,5474.92137792392
"83","391",31280,38660,-1.09065599508811,-0.451063105309598,"August",1530.83890655583,32810.8389065558,5849.16109344418
"84","392",31630,38850,-0.775303503726817,-0.126231275653339,"August",1658.15981619543,33288.1598161954,5561.84018380458
"85","401",31620,38920,-0.784313574908567,-0.00655639104314118,"August",1663.99307245417,33283.9930724542,5636.00692754583
