"","sampleID.exp","test1.exp","allP.exp","ztest1","zallP","month","june","aug","exp.adjust","exp.adjustTest1","stress"
"76","116",35070,37560,2.32416098279565,-2.33166843489841,"aug",0,1,71.3488400755038,35141.3488400755,2418.6511599245
"77","137",33380,38650,0.801458953079673,-0.468159517396765,"aug",0,1,71.24629442802,33451.246294428,5198.75370557198
"78","138",33450,38930,0.864529451351932,0.0105400210440265,"aug",0,1,69.7232763162609,33519.7232763163,5410.27672368374
"79","139",33110,38730,0.558187031172383,-0.3313882206994,"aug",0,1,71.3594808714981,33181.3594808715,5548.6405191285
"80","140",31310,37810,-1.06362578154286,-1.90425813271913,"aug",0,1,60.1922991746622,31370.1922991747,6439.80770082534
"81","149",32900,38740,0.368975536355604,-0.31429180861222,"aug",0,1,71.4216289456129,32971.4216289456,5768.57837105438
"82","150",32790,39470,0.26986475335634,0.933746273751263,"aug",0,1,65.9643070007448,32855.9643070007,6614.03569299926
"83","151",35180,37310,2.42327176579491,-2.75907873707768,"aug",0,1,71.225971019212,35251.2259710192,2058.77402898079
"84","152",33420,39420,0.837499237806677,0.848264213315412,"aug",0,1,64.7931589797362,33484.7931589797,5935.20684102026
"85","161",33100,38890,0.549176959990634,-0.0578456273046563,"aug",0,1,70.462097269495,33170.4620972695,5719.5379027305
"86","162",33530,39510,0.936610020805942,1.00213192209995,"aug",0,1,65.8302537477653,33595.8302537478,5914.16974625224
"87","163",33120,39020,0.567197102354133,0.164407729828572,"aug",0,1,69.8267918765844,33189.8267918766,5830.17320812341
"88","164",31970,38090,-0.468961083547271,-1.42555859427834,"aug",0,1,68.433109424176,32038.4331094242,6051.56689057582
"89","17",32220,39070,-0.243709304003487,0.249889790264422,"aug",0,1,71.4178901709841,32291.417890171,6778.58210982901
"90","174",35690,40000,2.88278539606423,1.83985611437133,"aug",0,1,56.0267266469982,35746.026726647,4253.973273353
"91","175",34710,39830,1.9997984202526,1.54921710888942,"aug",0,1,57.0430805468533,34767.0430805469,5062.95691945314
"92","176",33340,39250,0.765418668352668,0.557625207833501,"aug",0,1,65.3612798045665,33405.3612798046,5844.63872019543
"93","18",34040,38750,1.39612365107526,-0.297195396525052,"aug",0,1,69.1962301226789,34109.1962301227,4640.80376987732
"94","19",33090,38920,0.540166888808884,-0.00655639104314118,"aug",0,1,70.2579509887226,33160.2579509887,5759.74204901128
"95","197",32500,38860,0.00857268908555142,-0.109134863566171,"aug",0,1,71.4212154690682,32571.4212154691,6288.57878453093
"96","198",32510,38310,0.017582760267301,-1.04943752836058,"aug",0,1,71.1044874912759,32581.1044874913,5728.89551250873
"97","199",32470,38190,-0.0184575244597037,-1.25459447340664,"aug",0,1,70.9296761947849,32540.9296761948,5649.07032380522
"98","20",32190,38790,-0.270739517548742,-0.228809748176369,"aug",0,1,71.250907312102,32261.2509073121,6528.7490926879
"99","200",32390,38750,-0.0905380939137129,-0.297195396525052,"aug",0,1,71.2917245629702,32461.291724563,6288.70827543703
"100","209",34280,39580,1.61236535943729,1.12180680671014,"aug",0,1,64.5238436828003,34344.5238436828,5235.4761563172
"101","210",32370,38930,-0.108558236277218,0.0105400210440265,"aug",0,1,71.4228427116963,32441.4228427117,6488.57715728831
"102","211",31850,39020,-0.577081937728285,0.164407729828572,"aug",0,1,71.3133857577552,31921.3133857578,7098.68661424224
"103","212",31860,38500,-0.568071866546536,-0.724605698704329,"aug",0,1,70.9479236345403,31930.9479236345,6569.05207636546
"104","233",31930,38480,-0.505001368274276,-0.758798522878676,"aug",0,1,70.9587735465283,32000.9587735465,6479.04122645347
"105","234",32230,38590,-0.234699232821738,-0.570737989919784,"aug",0,1,71.2167903234084,32301.2167903234,6288.7832096766
"106","235",32280,38840,-0.189648876912977,-0.143327687740507,"aug",0,1,71.3354419666849,32351.3354419667,6488.66455803331
"107","236",32010,38200,-0.432920798820267,-1.23749806131946,"aug",0,1,70.6316336613086,32080.6316336613,6119.36836633869
"108","245",32350,38210,-0.126578378640718,-1.22040164923229,"aug",0,1,70.913544033983,32420.913544034,5789.08645596602
"109","246",32810,39660,0.287884895719845,1.25857810340751,"aug",0,1,64.7236586213735,32874.7236586214,6785.27634137862
"110","247",32210,39090,-0.252719375185237,0.28408261443877,"aug",0,1,71.4120418461784,32281.4120418462,6808.58795815382
"111","248",31460,39500,-0.928474713816588,0.985035510012778,"aug",0,1,71.3492108920746,31531.3492108921,7968.65078910792
"112","257",31950,40000,-0.486981225910773,1.83985611437133,"aug",0,1,64.7389782500938,32014.7389782501,7985.26102174991
"113","258",32160,40000,-0.297769731093998,1.83985611437133,"aug",0,1,64.7845152472452,32224.7845152472,7775.21548475276
"114","259",32020,38800,-0.423910727638511,-0.211713336089202,"aug",0,1,71.2294809763754,32091.2294809764,6708.77051902362
"115","260",32070,39090,-0.378860371729756,0.28408261443877,"aug",0,1,71.424443889444,32141.4244438894,6948.57555611055
"116","269",32210,39270,-0.252719375185237,0.591818032007849,"aug",0,1,70.7466077636231,32280.7466077636,6989.25339223638
"117","270",31610,38760,-0.793323646090319,-0.280098984437885,"aug",0,1,71.1519583082384,31681.1519583082,7078.84804169176
"118","271",31910,39390,-0.523021510637778,0.796974977053897,"aug",0,1,70.904270654158,31980.9042706542,7409.09572934584
"119","272",32110,38810,-0.342820087002752,-0.194616924002022,"aug",0,1,71.2429979986323,32181.2429979986,6628.75700200137
